Tous	HP:0000001#
Anomalie de la forme de la tête	HP:0000267#
Malformation de la voûte crânienne	HP:0000267#
Malformation de la forme de la tête	HP:0000267#
Anomalie de la voûte crânienne	HP:0000267#
Asymétrie de la tête	HP:0000267#
Asymétrie du crâne	HP:0000267#
Malformation de la forme du crâne	HP:0000267#
Forme irrégulière de la tête	HP:0000267#
Anomalie de la forme du crâne	HP:0000267#
Asymétrie de la voûte crânienne	HP:0000267#
Dolichocéphalie	HP:0000268#
Forme étroite du crâne	HP:0000268#
Crâne dolichocéphale large	HP:0000268#
Forme étroite de la tête	HP:0000268#
Turridolichocéphalie	HP:0000268#
Tête longue et étroite	HP:0000268#
Occiput proéminent	HP:0000269#
Arrière de la tête proéminent	HP:0000269#
Tête postérieure proéminente	HP:0000269#
Crâne postérieur proéminent	HP:0000269#
Protubérance occipitale saillante	HP:0000269#
Arrière du crâne proéminent	HP:0000269#
Partie postérieure du crâne proéminente	HP:0000269#
Sutures crâniennes à fermeture retardée	HP:0000270#
Sutures ouvertes	HP:0000270#
Fermeture retardée des fontanelles	HP:0000270#
Fermeture retardée des sutures crâniennes	HP:0000270#
Fermeture tardive des fontanelles	HP:0000270#
Sutures crâniennes à fermeture tardive	HP:0000270#
Fontanelles à fermeture tardive	HP:0000270#
Anomalie de la face	HP:0000271#
Anomalie du visage	HP:0000271#
Anomalie de la physionomie	HP:0000271#
Trouble du visage	HP:0000271#
Anomalie faciale	HP:0000271#
Aplatissement du malaire	HP:0000272#
Diminution de la taille de l'os malaire	HP:0000272#
Sous-développement de l'os malaire	HP:0000272#
Hypoplasie malaire	HP:0000272#
Région malaire déprimée	HP:0000272#
Os malaire hypotrophique	HP:0000272#
Aplatissement des zygomatiques	HP:0000272#
Grimace faciale	HP:0000273#
Petit visage	HP:0000274#
Hypoplasie faciale	HP:0000274#
Visage court et étroit	HP:0000274#
Hypoplasie du visage	HP:0000274#
Petit faciès	HP:0000274#
Microfaciès	HP:0000274#
Microface	HP:0000274#
Face étroite	HP:0000275#
Visage mince	HP:0000275#
Hypoplasie transversale de la face	HP:0000275#
Hypoplasie horizontale de la face	HP:0000275#
Insuffisance transversale de la face	HP:0000275#
Insuffisance horizontale de la face	HP:0000275#
Diminution de la largeur de la face	HP:0000275#
Diminution de la dimension transversale de la face	HP:0000275#
Faciès étroit	HP:0000275#
Diminution de la largeur du visage	HP:0000275#
Faciès mince	HP:0000275#
Diminution de la dimension horizontale du visage	HP:0000275#
Visage étroit	HP:0000275#
Insuffisance horizontale du visage	HP:0000275#
Visage long	HP:0000276#
Allongement du visage	HP:0000276#
Hyperplasie verticale du visage	HP:0000276#
Augmentation de la dimension verticale du visage	HP:0000276#
Augmentation de la longueur du visage	HP:0000276#
Excroissance verticale du visage	HP:0000276#
Visage allongé	HP:0000276#
Augmentation de la hauteur du visage	HP:0000276#
Allongement vertical de la face	HP:0000276#
Long faciès	HP:0000276#
Excès vertical du visage	HP:0000276#
Agrandissement vertical du visage	HP:0000276#
Anomalie de la mandibule	HP:0000277#
Déformation de la mandibule	HP:0000277#
Anomalie de l'os de la mâchoire inférieure	HP:0000277#
Déformation de l'os de la mâchoire inférieure	HP:0000277#
Malformation de l'os de la mâchoire inférieure	HP:0000277#
Malformation de la mandibule	HP:0000277#
Rétrognathie	HP:0000278#
Rétrogénie de la mâchoire inférieure	HP:0000278#
Menton fuyant	HP:0000278#
Mandibule fuyante	HP:0000278#
Rétrognathie de la mâchoire inférieure	HP:0000278#
Mâchoire faible	HP:0000278#
Menton faible	HP:0000278#
Caractéristiques faciales grossières	HP:0000280#
Visage grossier	HP:0000280#
Aspect grossier du visage	HP:0000280#
Traits de visage arrondis et lourds	HP:0000280#
Peau du visage épaissie avec traits du visage grossiers	HP:0000280#
Œdème facial	HP:0000282#
Bouffissure du visage	HP:0000282#
Gonflement du visage	HP:0000282#
Visage large	HP:0000283#
Excès horizontal du visage	HP:0000283#
Hyperplasie transversale du visage	HP:0000283#
Faciès large	HP:0000283#
Augmentation de la dimension horizontale du visage	HP:0000283#
Augmentation de la largeur du visage	HP:0000283#
Augmentation de la dimension transversale du visage	HP:0000283#
Hyperplasie horizontale du visage	HP:0000283#
Excès transversal du visage	HP:0000283#
obsolète Anomalie de la région oculaire	HP:0000284#
Epicanthus	HP:0000286#
Plis des yeux	HP:0000286#
Plis oculaires proéminents	HP:0000286#
Plica palpebronasalis	HP:0000286#
Plis épicanthaux	HP:0000286#
Pli épicanthal	HP:0000286#
Pli palpébronasal	HP:0000286#
Plis épicanthiques	HP:0000286#
Augmentation du tissu adipeux facial	HP:0000287#
Hyperplasie du tissu adipeux facial	HP:0000287#
Augmentation du volume du tissu adipeux facial	HP:0000287#
Hyperplasie de la graisse faciale	HP:0000287#
Augmentation de la quantité de tissu adipeux facial	HP:0000287#
Hypertrophie de la graisse faciale	HP:0000287#
Hypertrophie du tissu adipeux facial	HP:0000287#
Augmentation de la quantité de graisse faciale	HP:0000287#
Anomalie du philtrum	HP:0000288#
Anomalie de la région paralabiale	HP:0000288#
Anomalie de la dépression infranasale	HP:0000288#
Philtrum large	HP:0000289#
Augmentation de la dimension horizontale du philtrum	HP:0000289#
Augmentation de la largeur du philtrum	HP:0000289#
Largeur du philtrum	HP:0000289#
Augmentation de la dimension transversale du philtrum	HP:0000289#
Anomalie du front	HP:0000290#
Déformation du front	HP:0000290#
Anomalie de la région frontale du visage	HP:0000290#
Malformation du front	HP:0000290#
Anomalie du tissu adipeux facial	HP:0000291#
Anomalie de la graisse du visage	HP:0000291#
Déformation du tissu adipeux facial	HP:0000291#
Malformation du tissu adipeux facial	HP:0000291#
Perte du tissu adipeux facial	HP:0000292#
Perte de graisse faciale	HP:0000292#
Perte de tissu adipeux sous-cutané du visage	HP:0000292#
Diminution du volume du tissu adipeux facial	HP:0000292#
Diminution de la quantité de tissu adipeux du visage	HP:0000292#
Diminution de la quantité de graisse faciale	HP:0000292#
Joues pleines	HP:0000293#
Hypertrophie des joues	HP:0000293#
Joues en forme de pomme	HP:0000293#
Grosses joues	HP:0000293#
Joues gonflées	HP:0000293#
Hyperplasie des joues	HP:0000293#
Joues potelées	HP:0000293#
Augmentation de la taille des joues	HP:0000293#
Ligne de cheveux antérieure basse	HP:0000294#
Ligne de cheveux frontale basse	HP:0000294#
Visage de poupée	HP:0000295#
Aspect facial de poupée	HP:0000295#
Hypotonie faciale	HP:0000297#
Diminution du tonus musculaire facial	HP:0000297#
Faible tonus musculaire facial	HP:0000297#
Façade hypotonique	HP:0000297#
Atonie de la musculature faciale	HP:0000297#
Visage masqué	HP:0000298#
Amimie	HP:0000298#
Visage sans expression	HP:0000298#
Visage ressemblant à un masque	HP:0000298#
Manque d'expression faciale	HP:0000298#
Visage ovale	HP:0000300#
Forme ovale du visage	HP:0000300#
Anomalie de la musculature faciale	HP:0000301#
Anomalie des muscles faciaux	HP:0000301#
Problème de muscles faciaux	HP:0000301#
Prognathie mandibulaire	HP:0000303#
Macromandibule	HP:0000303#
Hypertrophie de la mâchoire inférieure	HP:0000303#
Mâchoire inférieure proéminente	HP:0000303#
Prognathisme mandibulaire	HP:0000303#
Mandibule proéminente	HP:0000303#
Prognathie	HP:0000303#
Grande mâchoire inférieure	HP:0000303#
Excès mandibulaire	HP:0000303#
Excès de la mâchoire inférieure	HP:0000303#
Augmentation de la taille de la mâchoire inférieure	HP:0000303#
Hyperplasie de la mâchoire inférieure	HP:0000303#
Agrandissement de la mandibule	HP:0000303#
Prognathisme de la mandibule	HP:0000303#
Grande mandibule	HP:0000303#
Hypertrophie de la mandibule	HP:0000303#
Augmentation de la taille de la mandibule	HP:0000303#
Macrognathie mandibulaire	HP:0000303#
Prognathisme mandibulaire relatif	HP:0000303#
Mâchoire proéminente	HP:0000303#
Projection accrue de la mâchoire inférieure	HP:0000303#
Mandibule élargie	HP:0000303#
Projection accrue de la mandibule	HP:0000303#
Menton proéminent	HP:0000303#
Prognathisme	HP:0000303#
Hyperplasie mandibulaire	HP:0000303#
Anomalie du menton	HP:0000306#
Malformation du menton	HP:0000306#
Déformation du menton	HP:0000306#
Menton pointu	HP:0000307#
Petit menton pointu	HP:0000307#
Menton de sorcière	HP:0000307#
Région de mention pointue	HP:0000307#
Micro-rétrognathie	HP:0000308#
Rétromicrognathie	HP:0000308#
Anomalie de la face moyenne	HP:0000309#
Déformation de la face moyenne	HP:0000309#
Malformation de la face moyenne	HP:0000309#
Visage rond	HP:0000311#
Faces rondes	HP:0000311#
Visage rond complet	HP:0000311#
Visage circulaire	HP:0000311#
Forme ronde du visage	HP:0000311#
Anomalie de la région orbitale	HP:0000315#
Déformation de la région orbitale du visage	HP:0000315#
Anomalie de la région des yeux	HP:0000315#
Malformation de la région orbitale de la face	HP:0000315#
Anomalie de la région orbitale de la face	HP:0000315#
Hypertélorisme	HP:0000316#
Augmentation de la distance entre les orbites	HP:0000316#
Hypertélorisme oculaire	HP:0000316#
Augmentation de la distance interpupillaire	HP:0000316#
Yeux très écartés	HP:0000316#
Séparation excessive des orbites	HP:0000316#
Distance entre les yeux augmentée	HP:0000316#
Distance interpupillaire élargie	HP:0000316#
Myokymie faciale	HP:0000317#
Contraction involontaire du visage	HP:0000317#
Frémissement involontaire du visage	HP:0000317#
Philtrum lisse	HP:0000319#
Philtrum peu profond	HP:0000319#
Philtrum plat	HP:0000319#
Philtrum indistinct	HP:0000319#
Philtrum simple	HP:0000319#
Diminution de la profondeur du philtrum	HP:0000319#
Façade ressemblant à celle des oiseaux	HP:0000320#
Aspect facial ressemblant à celui d'un oiseau	HP:0000320#
Visage carré	HP:0000321#
Faciès carré	HP:0000321#
Forme carrée du visage	HP:0000321#
Philtrum court	HP:0000322#
Hypoplasie verticale du philtrum	HP:0000322#
Diminution de la dimension verticale du philtrum	HP:0000322#
Diminution de la longueur du philtrum	HP:0000322#
Diminution de la hauteur du philtrum	HP:0000322#
Asymétrie faciale	HP:0000324#
Visage tordu	HP:0000324#
Asymétrie du visage	HP:0000324#
Asymétrie des côtés droit et gauche du visage	HP:0000324#
Visage non symétrique	HP:0000324#
Visage asymétrique	HP:0000324#
Visage déséquilibré	HP:0000324#
Faces inégales du visage	HP:0000324#
Visage inégal	HP:0000324#
Côtés inégaux de la face	HP:0000324#
Visage triangulaire	HP:0000325#
Visage aux tempes larges et au menton étroit	HP:0000325#
Forme triangulaire du visage	HP:0000325#
Anomalie du maxillaire	HP:0000326#
Déformation du maxillaire supérieur	HP:0000326#
Malformation des os de la mâchoire supérieure	HP:0000326#
Anomalie des os de la mâchoire supérieure	HP:0000326#
Déformation des os de la mâchoire supérieure	HP:0000326#
Anomalie de l'os de la mâchoire supérieure	HP:0000326#
Malformation du maxillaire supérieur	HP:0000326#
Anomalie du maxillaire supérieur	HP:0000326#
Hypoplasie du maxillaire supérieur	HP:0000327#
Diminution de la projection de la mâchoire supérieure	HP:0000327#
Micromaxillaire	HP:0000327#
Petit maxillaire	HP:0000327#
Diminution de la taille de la mâchoire supérieure	HP:0000327#
Rétrognathie de la mâchoire supérieure	HP:0000327#
Déficience de la mâchoire supérieure	HP:0000327#
Déficience des os de la mâchoire supérieure	HP:0000327#
Maxillaire hypotrophique	HP:0000327#
Retrait du maxillaire	HP:0000327#
Hypoplasie maxillaire	HP:0000327#
Retrait de la mâchoire supérieure	HP:0000327#
Rétrognathie maxillaire	HP:0000327#
Petite mâchoire supérieure	HP:0000327#
Diminution de la taille du maxillaire supérieur	HP:0000327#
Hypotrophie des os de la mâchoire supérieure	HP:0000327#
Hypoplasie des os de la mâchoire supérieure	HP:0000327#
Déficience du maxillaire	HP:0000327#
Micrognathie maxillaire	HP:0000327#
Retroussement des os de la mâchoire supérieure	HP:0000327#
Petits os de la mâchoire supérieure	HP:0000327#
Diminution de la projection du maxillaire	HP:0000327#
Os maxillaires hypoplasiques	HP:0000327#
Hémangiome facial	HP:0000329#
Menton court	HP:0000331#
Petit menton	HP:0000331#
Tiers inférieur du visage court	HP:0000331#
Hypoplasie verticale du menton	HP:0000331#
Déficit vertical du menton	HP:0000331#
Diminution de la hauteur du menton	HP:0000331#
Crêtes supra-orbitaires proéminentes	HP:0000336#
Crête supra-orbitaire saillante	HP:0000336#
Hyperplasie des marges supra-orbitaires	HP:0000336#
Bords supra-orbitaires proéminents	HP:0000336#
Hypertrophie des bords supra-orbitaires	HP:0000336#
Hypertrophie de la crête supra-orbitaire	HP:0000336#
Hyperostose supra-orbitaire	HP:0000336#
Hyperplasie de la crête supra-orbitaire	HP:0000336#
Front proéminent	HP:0000336#
Crête supra-orbitaire proéminente	HP:0000336#
Front large	HP:0000337#
Élargissement intertemporal	HP:0000337#
Augmentation de la largeur du front	HP:0000337#
Élargissement bitemporal	HP:0000337#
Augmentation de la largeur bitemporale	HP:0000337#
Augmentation de la dimension bitemporale	HP:0000337#
Visage hypomimétique	HP:0000338#
Diminution des expressions faciales	HP:0000338#
Diminution des mouvements des muscles faciaux	HP:0000338#
Hypomimie	HP:0000338#
Expression faciale terne	HP:0000338#
Visage de pugiliste	HP:0000339#
Aspect facial de type Boxer	HP:0000339#
Visage pugilistique	HP:0000339#
Front incliné	HP:0000340#
Front fuyant	HP:0000340#
Front incliné vers l'arrière	HP:0000340#
Front étroit	HP:0000341#
Rétrécissement intertemporal	HP:0000341#
Diminution de la largeur du front	HP:0000341#
Rétrécissement temporal	HP:0000341#
Rétrécissement bitemporal du crâne	HP:0000341#
Diamètre bitemporal étroit	HP:0000341#
Rétrécissement bitemporal	HP:0000341#
Largeur bitemporale étroite	HP:0000341#
Philtrum long	HP:0000343#
Philtrum allongé	HP:0000343#
Augmentation de la dimension verticale du philtrum	HP:0000343#
Hyperplasie verticale du philtrum	HP:0000343#
Augmentation de la longueur du philtrum	HP:0000343#
Augmentation de la hauteur du philtrum	HP:0000343#
Apparence de sifflement	HP:0000346#
Apparence sifflante	HP:0000346#
Apparence de visage sifflant	HP:0000346#
Micrognathie	HP:0000347#
Petite mâchoire inférieure	HP:0000347#
Déficit de la mâchoire inférieure	HP:0000347#
Déficience de la mandibule	HP:0000347#
Mandibule hypotrophique	HP:0000347#
Sous-développement de la mâchoire inférieure	HP:0000347#
Hypoplasie de la mâchoire inférieure	HP:0000347#
Diminution de la taille de la mandibule	HP:0000347#
Condyle de la mandibule hypoplasique	HP:0000347#
Micrognathie de la mâchoire inférieure	HP:0000347#
Micrognathie mandibulaire	HP:0000347#
Micromandibule	HP:0000347#
Mandibule hypoplasique	HP:0000347#
Rétrusion mandibulaire	HP:0000347#
Diminution de la taille de la mâchoire inférieure	HP:0000347#
Mâchoire inférieure hypotrophique	HP:0000347#
Hypoplasie de la mandibule	HP:0000347#
Petite mandibule	HP:0000347#
Diminution de la projection de la mandibule	HP:0000347#
Rétrognathie mandibulaire	HP:0000347#
Rétrognathie de la mâchoire inférieure	HP:0000347#
Déficience de la mâchoire inférieure	HP:0000347#
Rétrogradation de la mâchoire inférieure	HP:0000347#
Sous-développement de la mandibule	HP:0000347#
Hypoplasie sévère de la mandibule	HP:0000347#
Robin des bois de la mandibule	HP:0000347#
Retrait de la mâchoire inférieure	HP:0000347#
Diminution de la projection de la mâchoire inférieure	HP:0000347#
Petite mâchoire	HP:0000347#
Front haut	HP:0000348#
Sommet de la veuve	HP:0000349#
Pointe de cheveux	HP:0000349#
Sommet de la ligne des cheveux	HP:0000349#
Ligne frontale des cheveux en forme de V	HP:0000349#
Petit front	HP:0000350#
Diminution de la taille du front	HP:0000350#
Hypoplasie du front	HP:0000350#
Diminution de la taille de la région frontale du visage	HP:0000350#
Front hypotrophique	HP:0000350#
Anomalie de l'oreille externe	HP:0000356#
Pavillon malformé	HP:0000356#
Anomalie du pavillon de l'oreille	HP:0000356#
Anomalies de l'oreille	HP:0000356#
Malformations de l'oreille externe	HP:0000356#
Pavillon anormal	HP:0000356#
Emplacement anormal des oreilles	HP:0000357#
Défaut de position de l'oreille externe	HP:0000357#
Oreilles tournées vers l'arrière	HP:0000358#
Oreilles angulées postérieurement	HP:0000358#
Oreilles à rotation postérieure	HP:0000358#
Oreille, angulation postérieure, accrue	HP:0000358#
Rotation postérieure	HP:0000358#
Oreilles à angulation postérieure	HP:0000358#
Anomalie de l'oreille interne	HP:0000359#
Acouphènes	HP:0000360#
Bourdonnement dans les oreilles	HP:0000360#
obsolète Acouphènes pulsatiles (paragangliome tympanique)	HP:0000361#
Otospongiose	HP:0000362#
Anomalie du lobe de l'oreille	HP:0000363#
Anomalie de l'audition	HP:0000364#
Déficience auditive	HP:0000365#
Surdité	HP:0000365#
Déficience auditive congénitale	HP:0000365#
Défaut auditif	HP:0000365#
Surdité congénitale	HP:0000365#
Hypoacousie	HP:0000365#
Perte auditive	HP:0000365#
Anomalie du nez	HP:0000366#
Malformation du nez	HP:0000366#
Déformation du nez	HP:0000366#
Anomalie nasale	HP:0000366#
Oreilles basses, en rotation postérieure	HP:0000368#
Oreilles basculées vers l'arrière	HP:0000368#
Oreilles basculées	HP:0000369#
Oreilles en position basse	HP:0000369#
Oreilles basses	HP:0000369#
Melotia	HP:0000369#
Anomalie de l'oreille moyenne	HP:0000370#
Anomalies de l'oreille moyenne	HP:0000370#
Otite moyenne aiguë	HP:0000371#
Infection aiguë de l'oreille moyenne	HP:0000371#
Anomalie du conduit auditif	HP:0000372#
Anomalie du canal auditif	HP:0000372#
Anomalie de la morphologie de la cochlée	HP:0000375#
Anomalie de la cochlée	HP:0000375#
Cloison incomplète de la cochlée de type II	HP:0000376#
Malformation de Mondini	HP:0000376#
Anomalie du pavillon de l'oreille	HP:0000377#
Malformation des oreilles	HP:0000377#
Malformation du pavillon de l'oreille	HP:0000377#
Oreilles externes malformées	HP:0000377#
Conques mal définies	HP:0000377#
Oreilles dysplasiques	HP:0000377#
Malformation mineure des oreillettes	HP:0000377#
Oreilles simples	HP:0000377#
Malformation auriculaire	HP:0000377#
